client_id,rm_id,desk,first_name,age,city_tier,segment,wealth_source,risk_profile,preferred_language,relationship_tenure_years,days_since_last_contact,total_aum_inr,alloc_direct_equity_pct,alloc_equity_mf_pct,alloc_debt_mf_bonds_pct,alloc_pms_pct,alloc_aif_pct,alloc_unlisted_pct,alloc_gold_pct,top_sector_exposure,debt_duration_bucket,unlisted_holding_tag,intl_equity_exposure_pct,existing_thematic_exposure_pct,sip_active,sip_monthly_inr,avg_lumpsum_ticket_inr,days_since_last_lumpsum,ledger_balance_inr
C-0013,RM-01,UHNI,Chirag,52,Tier 2,UHNI,Inherited,Moderate,Hindi,6,108,186700000,27.4,16.6,20.2,19.3,8.2,6.8,1.5,FMCG,Long,Unlisted Co. A,0.0,0.0,False,0,10500000,308,0
C-0014,RM-01,UHNI,Kavita,51,Tier 2,UHNI,Inherited,Moderate,Hindi,14,16,334600000,21.2,22.3,19.7,24.3,6.4,5.3,0.8,BFSI,Long,Unlisted Co. A,0.0,15.6,False,0,14600000,118,300000
C-0015,RM-01,UHNI,Rohan,50,Tier 1,UHNI,Professional,Moderate,English,3,129,232800000,25.6,24.3,16.2,9.7,7.7,7.0,9.5,Pharma,Long,Unlisted Co. D,7.8,0.0,False,0,17100000,238,1200000
C-0016,RM-01,UHNI,Yash,62,Tier 2,UHNI,Salaried CXO,Aggressive,Hindi,5,255,112200000,29.6,29.9,20.9,19.5,0.0,0.0,0.1,BFSI,Long,No holding,0.0,0.0,False,0,4500000,50,500000
C-0017,RM-01,UHNI,Sunil,38,Tier 1,UHNI,Salaried CXO,Moderate,Hindi,5,219,220500000,21.0,25.3,30.4,10.3,0.0,5.9,7.1,IT,Medium,Unlisted Co. B,0.0,18.7,False,0,19000000,46,300000
C-0018,RM-01,UHNI,Naveen,48,Tier 1,UHNI,Inherited,Conservative,Hindi,17,33,106200000,11.4,31.3,32.3,10.6,0.0,0.0,14.4,Infra,Medium,No holding,0.0,12.8,False,0,4400000,401,200000
C-0019,RM-01,UHNI,Ishaan,58,Tier 1,UHNI,Business Owner,Moderate,English,18,224,291800000,20.7,32.5,24.4,16.4,3.8,0.0,2.2,IT,Medium,No holding,0.0,14.0,False,0,10600000,338,1800000
C-0020,RM-01,UHNI,Vinod,59,Tier 2,UHNI,Promoter,Moderate,English,10,70,175100000,18.8,28.5,21.9,23.6,0.0,0.0,7.2,Auto,Medium,No holding,0.0,0.0,True,400000,10500000,69,500000
C-0021,RM-01,UHNI,Kabir,35,Tier 2,UHNI,Promoter,Aggressive,English,3,202,162600000,20.6,19.9,15.6,19.4,12.7,6.3,5.5,BFSI,Medium,Unlisted Co. A,0.0,19.0,False,0,9900000,122,600000
C-0022,RM-01,UHNI,Lakshmi,45,Tier 2,UHNI,Business Owner,Moderate,English,14,230,123800000,17.6,30.3,21.9,15.1,13.1,1.6,0.4,Infra,Short,Unlisted Co. E,0.0,0.0,False,0,7500000,87,300000
C-0023,RM-01,UHNI,Vinod,60,Tier 2,UHNI,Professional,Aggressive,English,9,255,352600000,31.8,23.5,18.4,12.3,8.4,5.3,0.3,BFSI,Medium,Unlisted Co. C,0.0,0.0,False,0,19800000,168,1900000
C-0024,RM-01,UHNI,Prakash,53,Tier 2,UHNI,Business Owner,Aggressive,English,16,165,165300000,24.4,40.8,10.8,13.5,10.1,0.0,0.4,BFSI,Short,No holding,0.0,0.0,False,0,14800000,125,1500000
C-0025,RM-01,UHNI,Jaya,50,Tier 1,UHNI,Promoter,Moderate,Hindi,7,163,142200000,15.4,28.2,27.5,12.5,12.5,0.0,3.9,BFSI,Short,No holding,0.0,0.0,False,0,8400000,141,1900000
C-0026,RM-01,UHNI,Aarav,46,Tier 1,UHNI,Promoter,Aggressive,English,18,271,148300000,38.2,20.7,15.2,16.3,9.0,0.0,0.6,Diversified,Medium,No holding,0.0,0.0,False,0,8700000,224,700000
C-0027,RM-01,UHNI,Naveen,45,Tier 1,UHNI,Promoter,Conservative,Gujarati,15,299,241200000,7.5,30.2,46.3,5.8,0.0,1.5,8.7,Diversified,Short,Unlisted Co. D,1.3,14.2,True,310000,13300000,83,500000
C-0028,RM-01,UHNI,Yash,51,Tier 2,UHNI,Business Owner,Conservative,English,5,323,220100000,11.1,26.5,48.9,4.9,0.0,0.0,8.6,Infra,Short,No holding,0.0,0.0,False,0,7500000,371,100000
C-0029,RM-01,UHNI,Naveen,46,Tier 1,UHNI,Business Owner,Conservative,Gujarati,14,134,225900000,9.1,13.8,32.0,16.3,0.0,0.0,28.8,Infra,Long,No holding,4.4,0.0,False,0,14800000,306,0
C-0030,RM-01,UHNI,Rupal,48,Tier 1,UHNI,Business Owner,Aggressive,English,6,170,228100000,24.4,20.2,16.3,24.0,13.4,0.0,1.7,Infra,Long,No holding,2.8,0.0,False,0,10000000,320,2800000
C-0031,RM-01,UHNI,Jaya,49,Tier 2,UHNI,Business Owner,Moderate,English,7,132,584600000,23.7,30.5,27.5,12.7,4.8,0.0,0.8,Diversified,Short,No holding,0.0,0.0,False,0,39900000,75,3200000
C-0032,RM-01,UHNI,Siddharth,42,Tier 1,UHNI,Business Owner,Conservative,Hindi,5,211,143900000,10.3,14.3,44.3,12.2,0.0,0.1,18.8,BFSI,Short,Unlisted Co. B,6.3,0.0,True,340000,4800000,298,300000
C-0033,RM-01,UHNI,Siddharth,53,Tier 2,UHNI,Business Owner,Moderate,Marathi,13,51,135800000,24.4,33.7,25.8,11.6,0.0,0.0,4.5,Diversified,Short,No holding,6.8,10.4,False,0,12100000,352,500000
C-0034,RM-01,UHNI,Rajesh,68,Tier 1,UHNI,Promoter,Conservative,English,5,172,115100000,9.4,28.0,42.4,9.6,0.0,0.6,10.0,Pharma,Long,Unlisted Co. C,4.9,0.0,False,0,6700000,77,900000
C-0035,RM-01,UHNI,Siddharth,32,Tier 2,UHNI,Business Owner,Aggressive,English,12,76,252600000,34.5,22.2,10.9,19.5,4.3,0.0,8.6,Auto,Long,No holding,0.0,0.0,False,0,21200000,316,3900000
C-0036,RM-01,UHNI,Priya,51,Tier 2,UHNI,Business Owner,Moderate,Hindi,11,213,334900000,32.4,20.5,13.1,11.1,8.0,5.8,9.1,Diversified,Short,Unlisted Co. D,0.0,0.0,False,0,19600000,153,300000
C-0037,RM-01,UHNI,Meera,41,Tier 1,UHNI,Promoter,Moderate,Hindi,14,340,169100000,19.6,40.9,16.3,11.7,0.0,2.8,8.7,Infra,Medium,Unlisted Co. A,4.7,0.0,False,0,5700000,331,600000
C-0038,RM-01,UHNI,Shalini,53,Tier 2,UHNI,Professional,Moderate,English,18,394,113400000,16.2,26.8,27.3,17.8,0.0,0.0,11.9,Diversified,Short,No holding,0.0,0.0,True,105000,9000000,203,700000
C-0039,RM-01,UHNI,Swati,48,Tier 1,UHNI,Inherited,Moderate,English,1,179,114400000,17.3,24.4,21.8,18.4,0.0,14.7,3.4,Diversified,Short,Unlisted Co. A,0.0,0.0,False,0,7900000,337,2100000
C-0040,RM-01,UHNI,Swati,55,Tier 1,UHNI,Inherited,Moderate,English,18,23,257400000,20.7,17.4,21.9,24.0,14.2,0.0,1.8,Diversified,Long,No holding,5.7,0.0,False,0,19800000,66,1500000
C-0041,RM-01,UHNI,Harsh,59,Tier 1,UHNI,Promoter,Conservative,Marathi,2,91,270900000,20.0,16.8,46.5,8.7,0.0,0.0,8.0,Diversified,Short,No holding,1.5,4.9,False,0,15100000,166,1100000
C-0042,RM-01,UHNI,Rohan,50,Tier 2,UHNI,Inherited,Conservative,English,10,42,242700000,10.3,31.9,36.3,8.4,4.8,2.7,5.6,Infra,Short,Unlisted Co. A,0.0,0.0,True,235000,16600000,118,1100000
C-0043,RM-01,UHNI,Aarav,58,Tier 1,UHNI,Professional,Aggressive,English,7,303,124800000,34.3,24.5,15.8,24.2,0.0,0.0,1.2,FMCG,Medium,No holding,0.0,10.9,False,0,10200000,108,200000
C-0044,RM-01,UHNI,Priya,32,Tier 1,UHNI,Inherited,Aggressive,Marathi,12,393,204500000,37.5,20.2,19.9,12.5,8.5,0.0,1.4,Diversified,Medium,No holding,0.0,11.7,False,0,13900000,132,900000
C-0045,RM-01,UHNI,Priya,62,Tier 2,UHNI,Salaried CXO,Aggressive,English,13,222,191900000,25.1,36.6,19.8,9.9,8.5,0.0,0.1,IT,Long,No holding,0.0,0.0,False,0,9800000,163,1500000
C-0046,RM-01,UHNI,Manish,51,Tier 1,UHNI,Business Owner,Moderate,English,16,71,203000000,21.1,28.5,22.9,18.1,0.0,7.7,1.7,Infra,Long,Unlisted Co. B,2.2,0.0,True,180000,14200000,57,300000
C-0047,RM-01,UHNI,Yash,58,Tier 1,UHNI,Salaried CXO,Aggressive,English,8,9,290700000,24.1,40.4,13.0,14.9,4.6,0.0,3.0,FMCG,Short,No holding,0.0,0.0,False,0,20400000,298,3100000
C-0048,RM-01,UHNI,Uday,37,Tier 1,UHNI,Business Owner,Aggressive,English,17,390,203600000,28.2,29.1,13.3,16.9,8.4,1.7,2.4,IT,Short,Unlisted Co. D,0.0,0.0,False,0,17800000,233,100000
C-0049,RM-01,UHNI,Aditi,41,Tier 1,UHNI,Inherited,Aggressive,English,6,127,261500000,29.2,23.3,6.6,17.6,9.0,14.1,0.2,Diversified,Long,Unlisted Co. A,0.0,0.0,True,410000,13700000,349,500000
C-0050,RM-01,UHNI,Harsh,49,Tier 2,UHNI,Business Owner,Moderate,English,4,45,186800000,22.0,20.7,19.5,19.4,0.0,9.1,9.3,Infra,Short,Unlisted Co. B,0.0,0.0,True,325000,10400000,297,100000
C-0051,RM-01,UHNI,Gaurav,48,Tier 1,UHNI,Business Owner,Moderate,Gujarati,7,71,211000000,14.1,28.8,32.7,13.4,6.0,0.0,5.0,BFSI,Long,No holding,0.0,0.0,False,0,16600000,66,100000
C-0052,RM-01,UHNI,Varun,51,Tier 1,UHNI,Business Owner,Conservative,Hindi,10,102,254700000,7.4,22.7,53.4,6.1,0.0,0.0,10.4,FMCG,Medium,No holding,0.0,0.0,False,0,15400000,34,3700000
C-0053,RM-01,UHNI,Parth,58,Tier 2,HNI,Promoter,Aggressive,English,13,262,80800000,34.9,36.5,14.2,12.0,0.0,0.0,2.4,BFSI,Short,No holding,0.0,0.0,False,0,6000000,180,100000
C-0054,RM-01,UHNI,Sanjay,32,Tier 1,UHNI,Business Owner,Moderate,Hindi,15,356,151000000,15.8,46.4,14.8,9.7,9.1,0.0,4.2,Infra,Long,No holding,0.0,0.0,False,0,8700000,204,400000
C-0055,RM-01,UHNI,Sneha,57,Tier 2,UHNI,Inherited,Moderate,English,5,110,139000000,13.2,30.6,33.3,15.4,0.0,0.0,7.5,Diversified,Short,No holding,0.0,0.0,False,0,6000000,104,500000
C-0056,RM-02,UHNI,Siddharth,60,Tier 2,UHNI,Business Owner,Moderate,English,18,165,217100000,23.3,31.4,19.8,14.5,6.9,2.6,1.5,BFSI,Long,Unlisted Co. B,0.0,2.6,False,0,9500000,134,100000
C-0057,RM-02,UHNI,Prakash,50,Tier 1,UHNI,Business Owner,Moderate,English,10,97,194800000,19.1,27.7,20.8,11.4,16.8,0.0,4.2,FMCG,Medium,No holding,0.0,0.0,True,265000,12800000,399,100000
C-0058,RM-02,UHNI,Ishaan,36,Tier 1,UHNI,Salaried CXO,Moderate,Gujarati,13,121,102500000,24.7,19.1,25.6,24.0,0.0,4.3,2.3,Pharma,Medium,Unlisted Co. B,5.5,0.0,False,0,4000000,104,100000
C-0059,RM-02,UHNI,Shreya,34,Tier 1,UHNI,Business Owner,Conservative,English,4,215,136700000,13.9,22.7,54.3,0.0,0.0,0.0,9.1,BFSI,Medium,No holding,0.0,0.0,False,0,6600000,186,100000
C-0060,RM-02,UHNI,Yash,63,Tier 1,UHNI,Business Owner,Aggressive,English,11,227,266300000,30.9,30.2,12.8,20.0,5.7,0.0,0.4,Pharma,Short,No holding,4.1,0.0,False,0,22200000,287,1400000
C-0061,RM-02,UHNI,Naveen,47,Tier 1,UHNI,Salaried CXO,Conservative,English,2,74,186200000,3.8,38.3,35.9,4.3,0.0,9.3,8.4,FMCG,Medium,Unlisted Co. B,0.0,0.0,False,0,11700000,124,100000
C-0062,RM-02,UHNI,Kabir,42,Tier 1,HNI,Inherited,Aggressive,English,12,27,69600000,26.4,34.6,16.2,16.1,0.0,5.8,0.9,BFSI,Short,Unlisted Co. A,0.0,0.0,True,95000,5800000,114,400000
C-0063,RM-02,UHNI,Kavita,46,Tier 1,UHNI,Business Owner,Aggressive,English,4,198,215100000,15.9,32.9,9.0,28.4,10.3,0.0,3.5,Infra,Long,No holding,0.0,0.0,False,0,9400000,58,300000
C-0064,RM-02,UHNI,Rahul,35,Tier 1,HNI,Promoter,Moderate,Hindi,17,319,82600000,18.8,26.0,27.8,14.7,0.0,3.2,9.5,FMCG,Short,Unlisted Co. A,0.0,0.0,False,0,4100000,6,500000
C-0065,RM-02,UHNI,Akash,61,Tier 1,UHNI,Salaried CXO,Moderate,English,1,61,326200000,13.7,28.5,28.5,16.3,7.1,0.0,5.9,Diversified,Short,No holding,0.0,0.0,False,0,19000000,213,900000
C-0066,RM-02,UHNI,Pallavi,44,Tier 1,UHNI,Inherited,Moderate,English,12,163,263500000,13.3,23.9,38.3,15.4,7.0,0.0,2.1,Auto,Medium,No holding,0.0,0.0,False,0,15500000,414,1100000
C-0067,RM-02,UHNI,Aditi,60,Tier 2,UHNI,Business Owner,Aggressive,Gujarati,3,65,175900000,25.5,27.0,12.5,34.9,0.0,0.0,0.1,Diversified,Medium,No holding,3.0,8.2,False,0,15800000,96,0
C-0068,RM-02,UHNI,Aditi,48,Tier 1,UHNI,Salaried CXO,Aggressive,English,13,97,163500000,27.5,20.5,14.3,20.0,13.1,0.0,4.6,Infra,Medium,No holding,0.0,0.0,False,0,6000000,187,900000
C-0069,RM-02,UHNI,Naveen,61,Tier 1,UHNI,Business Owner,Moderate,Marathi,9,245,133700000,19.8,49.0,17.8,8.4,0.0,0.0,5.0,Pharma,Medium,No holding,0.0,0.0,False,0,10800000,393,200000
C-0070,RM-02,UHNI,Shalini,50,Tier 1,UHNI,Inherited,Conservative,English,18,115,217900000,12.5,42.0,30.0,2.3,0.0,0.0,13.2,IT,Short,No holding,7.3,0.0,True,200000,17800000,325,100000
C-0071,RM-02,UHNI,Uday,56,Tier 1,UHNI,Business Owner,Moderate,Hindi,12,106,122300000,14.8,31.8,24.5,14.5,0.0,5.0,9.4,IT,Medium,Unlisted Co. A,0.0,0.0,False,0,7700000,6,200000
C-0072,RM-02,UHNI,Arjun,54,Tier 1,UHNI,Promoter,Moderate,English,7,398,170700000,15.4,32.1,28.7,21.4,0.0,0.0,2.4,IT,Short,No holding,0.0,0.0,False,0,8600000,212,400000
C-0073,RM-02,UHNI,Ishaan,54,Tier 1,UHNI,Business Owner,Aggressive,Gujarati,2,69,242300000,26.0,26.1,8.8,16.9,21.5,0.0,0.7,Diversified,Short,No holding,0.0,13.7,False,0,14800000,64,300000
C-0074,RM-02,UHNI,Naveen,51,Tier 1,UHNI,Professional,Aggressive,English,11,76,110100000,22.7,32.8,13.0,28.6,0.0,0.0,2.9,Diversified,Short,No holding,0.0,4.4,False,0,5200000,107,300000
C-0075,RM-02,UHNI,Priya,46,Tier 1,UHNI,Business Owner,Moderate,Marathi,8,371,106900000,18.7,27.5,32.8,20.7,0.0,0.0,0.3,Diversified,Short,No holding,4.9,9.9,False,0,8300000,107,700000
C-0076,RM-02,UHNI,Yash,65,Tier 1,HNI,Inherited,Aggressive,English,1,220,77800000,29.1,34.4,19.6,8.4,0.0,7.9,0.6,IT,Short,Unlisted Co. E,3.4,0.0,False,0,4700000,259,200000
C-0077,RM-02,UHNI,Rohan,40,Tier 1,HNI,Salaried CXO,Moderate,Hindi,11,18,83500000,13.1,33.5,28.0,14.0,0.0,6.6,4.8,BFSI,Medium,Unlisted Co. A,6.6,2.7,False,0,7100000,87,100000
C-0078,RM-02,UHNI,Pooja,48,Tier 2,HNI,Business Owner,Aggressive,English,4,170,54900000,30.7,30.1,26.5,11.6,0.0,0.3,0.8,Diversified,Short,Unlisted Co. C,0.0,0.0,True,105000,3700000,109,100000
C-0079,RM-02,UHNI,Akash,48,Tier 2,UHNI,Business Owner,Moderate,English,5,226,224100000,23.4,23.5,18.4,15.7,6.3,2.3,10.4,Auto,Short,Unlisted Co. B,0.0,0.0,False,0,13600000,98,300000
C-0080,RM-02,UHNI,Ananya,52,Tier 1,UHNI,Business Owner,Moderate,English,1,102,405700000,26.1,41.2,11.3,6.0,9.4,0.0,6.0,BFSI,Medium,No holding,7.8,0.0,False,0,29500000,153,200000
C-0081,RM-02,UHNI,Deepak,44,Tier 1,UHNI,Business Owner,Aggressive,English,7,219,328500000,18.1,39.1,14.2,21.6,0.0,6.6,0.4,BFSI,Short,Unlisted Co. C,0.0,0.0,False,0,19800000,277,300000
C-0082,RM-02,UHNI,Ramesh,51,Tier 1,HNI,Promoter,Moderate,English,4,259,61300000,26.1,38.0,26.5,0.0,0.0,0.0,9.4,BFSI,Medium,No holding,0.0,0.0,True,80000,5200000,170,100000
C-0083,RM-02,UHNI,Kiran,46,Tier 1,UHNI,Salaried CXO,Aggressive,Hindi,2,100,223500000,21.1,42.7,17.1,10.6,0.0,4.2,4.3,Diversified,Long,Unlisted Co. C,4.4,18.5,False,0,9200000,140,800000
C-0084,RM-02,UHNI,Ishaan,34,Tier 1,UHNI,Business Owner,Aggressive,English,8,325,327900000,35.1,26.3,11.1,10.5,14.2,1.6,1.2,Pharma,Medium,Unlisted Co. B,0.0,0.0,False,0,29000000,219,2600000
C-0085,RM-02,UHNI,Rohan,48,Tier 1,UHNI,Promoter,Conservative,English,4,181,116700000,4.1,19.5,53.3,8.0,0.0,0.0,15.1,BFSI,Long,No holding,0.0,19.2,False,0,9200000,260,0
C-0086,RM-02,UHNI,Sunil,38,Tier 1,UHNI,Business Owner,Conservative,English,3,385,158600000,8.6,34.4,36.2,6.2,0.0,5.4,9.2,Diversified,Short,Unlisted Co. A,0.0,7.2,True,305000,12900000,11,100000
C-0087,RM-02,UHNI,Neha,32,Tier 1,HNI,Salaried CXO,Aggressive,English,9,36,49700000,29.0,13.8,20.7,16.1,20.2,0.0,0.2,FMCG,Short,No holding,0.0,0.0,False,0,2900000,374,100000
C-0088,RM-02,UHNI,Uday,49,Tier 1,UHNI,Inherited,Moderate,English,2,130,173700000,15.1,26.8,18.0,23.3,8.5,0.0,8.3,Pharma,Medium,No holding,0.0,18.6,False,0,13900000,385,1200000
C-0089,RM-02,UHNI,Shalini,52,Tier 2,HNI,Promoter,Conservative,Hindi,18,288,83600000,8.6,32.0,45.1,10.8,0.0,0.0,3.5,Pharma,Medium,No holding,1.3,0.0,False,0,4000000,255,200000
C-0090,RM-02,UHNI,Sanjay,53,Tier 2,UHNI,Inherited,Moderate,English,9,358,167400000,14.7,28.1,20.3,14.4,12.4,3.6,6.5,Auto,Long,Unlisted Co. C,1.6,0.0,False,0,12700000,243,200000
C-0091,RM-02,UHNI,Tanvi,53,Tier 1,HNI,Salaried CXO,Aggressive,Marathi,18,89,63600000,21.8,21.6,22.6,32.6,0.0,0.0,1.4,Auto,Short,No holding,0.0,0.0,False,0,2400000,293,100000
C-0092,RM-02,UHNI,Devika,32,Tier 1,UHNI,Promoter,Moderate,English,16,392,202200000,24.5,21.4,22.5,15.7,10.4,3.2,2.3,BFSI,Medium,Unlisted Co. A,0.0,0.0,False,0,9800000,187,600000
C-0093,RM-02,UHNI,Shreya,36,Tier 1,UHNI,Business Owner,Moderate,English,18,78,263500000,17.8,26.1,24.5,18.9,8.9,0.0,3.8,IT,Short,No holding,0.0,0.0,False,0,15000000,156,300000
C-0094,RM-02,UHNI,Vikram,66,Tier 2,HNI,Promoter,Aggressive,Gujarati,10,167,97500000,26.9,35.5,22.4,15.2,0.0,0.0,0.0,IT,Short,No holding,0.0,0.0,False,0,4800000,151,700000
C-0095,RM-02,UHNI,Yash,39,Tier 1,HNI,Promoter,Moderate,English,8,126,80300000,25.0,33.2,22.7,12.2,0.0,0.9,6.0,Diversified,Short,Unlisted Co. A,0.0,0.0,False,0,4300000,71,500000
C-0096,RM-02,UHNI,Priya,53,Tier 1,HNI,Promoter,Aggressive,English,13,170,45800000,25.5,30.3,11.4,27.6,0.0,4.1,1.1,Diversified,Long,Unlisted Co. A,0.0,0.0,True,105000,3600000,354,100000
C-0097,RM-02,UHNI,Shreya,42,Tier 1,UHNI,Business Owner,Moderate,Marathi,2,361,129600000,14.1,25.9,27.9,12.1,13.6,1.6,4.8,Diversified,Short,Unlisted Co. A,0.0,14.6,True,260000,5900000,138,1300000
C-0098,RM-02,UHNI,Uday,49,Tier 2,UHNI,Business Owner,Aggressive,Marathi,16,293,108900000,28.1,28.4,13.0,17.8,0.0,10.4,2.3,Infra,Long,Unlisted Co. A,7.7,0.0,False,0,8100000,123,0
C-0099,RM-02,UHNI,Swati,42,Tier 1,HNI,Inherited,Aggressive,Hindi,6,318,63900000,22.3,26.8,17.2,15.9,17.0,0.0,0.8,Pharma,Medium,No holding,2.0,0.0,False,0,2200000,405,900000
C-0100,RM-02,UHNI,Varun,53,Tier 1,UHNI,Professional,Conservative,English,1,102,192400000,9.0,27.7,52.6,6.9,0.0,0.0,3.8,Pharma,Medium,No holding,7.7,15.3,False,0,14600000,215,3300000
C-0101,RM-02,UHNI,Sunil,49,Tier 1,UHNI,Professional,Aggressive,Hindi,5,378,117100000,31.3,20.6,8.7,21.7,17.4,0.0,0.3,BFSI,Medium,No holding,5.2,18.7,False,0,9100000,263,100000
C-0102,RM-02,UHNI,Meera,44,Tier 1,HNI,Promoter,Moderate,Marathi,5,174,83000000,17.3,39.0,22.7,8.9,0.0,8.7,3.4,Diversified,Long,Unlisted Co. A,0.0,0.0,True,130000,4500000,106,100000
C-0103,RM-02,UHNI,Shalini,39,Tier 1,UHNI,Inherited,Conservative,Marathi,1,261,110600000,8.3,32.1,47.8,8.1,0.0,0.0,3.7,BFSI,Short,No holding,0.0,0.0,False,0,8100000,120,200000
C-0104,RM-02,UHNI,Mohit,50,Tier 1,UHNI,Business Owner,Conservative,English,13,279,270400000,7.3,22.1,43.9,11.3,0.0,3.4,12.0,IT,Short,Unlisted Co. A,0.0,0.0,False,0,23000000,307,100000
C-0105,RM-02,UHNI,Sneha,37,Tier 1,UHNI,Salaried CXO,Aggressive,English,2,265,209000000,23.6,21.7,21.5,19.2,10.3,0.0,3.7,FMCG,Medium,No holding,0.0,0.0,False,0,16300000,192,800000
C-0106,RM-02,UHNI,Sneha,52,Tier 1,UHNI,Business Owner,Conservative,English,16,241,139600000,8.7,18.1,48.1,6.6,0.0,3.5,15.0,Auto,Short,Unlisted Co. B,4.4,0.0,True,210000,7500000,66,100000
C-0107,RM-02,UHNI,Vidya,68,Tier 1,UHNI,Business Owner,Moderate,English,9,192,210800000,23.6,21.5,16.9,25.6,7.7,0.1,4.6,FMCG,Short,Unlisted Co. A,0.0,0.0,False,0,12400000,351,800000
C-0108,RM-02,UHNI,Rahul,60,Tier 2,HNI,Business Owner,Conservative,Hindi,13,259,79200000,14.0,16.6,49.7,8.7,0.0,0.0,11.0,Auto,Short,No holding,0.0,0.0,False,0,6100000,172,200000
C-0109,RM-02,UHNI,Nikhil,54,Tier 1,UHNI,Promoter,Moderate,English,7,362,152700000,22.9,31.1,18.5,11.0,7.5,4.2,4.8,FMCG,Short,Unlisted Co. A,1.7,0.0,False,0,7300000,282,400000
C-0110,RM-02,UHNI,Deepak,47,Tier 1,UHNI,Inherited,Moderate,English,3,156,162700000,27.7,34.1,15.1,20.2,0.0,0.0,2.9,BFSI,Short,No holding,0.0,17.8,False,0,12700000,146,100000
C-0111,RM-02,UHNI,Rakesh,32,Tier 1,UHNI,Professional,Moderate,English,4,204,115800000,21.6,24.4,29.9,21.4,0.0,0.0,2.7,Diversified,Short,No holding,0.0,16.6,False,0,5800000,237,200000
C-0112,RM-02,UHNI,Priya,36,Tier 1,UHNI,Business Owner,Moderate,English,12,72,190600000,25.3,23.2,19.4,10.2,18.2,2.3,1.4,Diversified,Long,Unlisted Co. E,0.0,0.0,False,0,14900000,326,1200000
C-0113,RM-02,UHNI,Parth,60,Tier 1,HNI,Inherited,Conservative,English,13,142,97700000,6.6,32.1,47.1,7.1,0.0,0.0,7.1,BFSI,Short,No holding,0.0,0.0,False,0,3400000,372,700000
